병원명,시술명,샷수,도시,정가,할인가
Shine Bright Clinic,"Liftera Hifu - Jaws Lines or Neck (100 Lines) (KFDA, Authentic Thai FDA)",100,방콕,"฿4,900","฿3,999"
Okay Clinic,HIFU Liftera tightening Under Eyes (Unlimited Shots),,방콕,"฿7,999","฿2,999"
Okay Clinic,HIFU Liftera tightening Neck (Unlimited Shots),,방콕,"฿7,999","฿2,999"
Okay Clinic,HIFU Liftera tightening Face Lift (Unlimited Shots),,방콕,"฿12,999","฿6,999"
Okay Clinic,HIFU Liftera tightening Forehead  (Unlimited Shots),,방콕,"฿5,999","฿2,999"
The Healing House Clinic,"Hifu Liftera (100 Lines) (KFDA, Authentic Thai FDA) (*Please Make a Reservation  least 1 day in Advance)",100,기타,"฿14,990","฿3,990"
Varinpat Clinic,Liftera Skin Tightening (300 Shots),300,기타,,
Haarlistic Aesthetic Hair Transplantation,Hifu Liftera (Unlimited Shots),,방콕,"฿8,999","฿7,999"
Nsc Clinic,Liftera HIFU - Facial Lifting (3000 Shots),3000,방콕,"฿22,000","฿14,000"
Lamelle Aesthetic Clinic,Liftera Size M - Facial Lifting (7000 Shots),7000,방콕,"฿15,000","฿8,666"
Lamelle Aesthetic Clinic,Liftera Size XL - Facial Lifting (15000 Shots),15000,방콕,"฿19,900","฿11,666"
Vv Life Clinic,ILiftera-A (Korea) Eyebrow Lift,,방콕,,
The Aes Clinic,Liftera-A Lifting - Cheeks or Doule Chin,,기타,"฿7,000","฿6,900"
The Aes Clinic,Liftera-A Lifting - Facial,,기타,"฿10,000","฿9,900"
