병원명,시술명,샷수,도시,정가,할인가
Camil Clinic,Oligio X (900 Shots),900,방콕,"฿59,900","฿49,500"
Camil Clinic,Oligio X (300 Shots),300,방콕,"฿20,900","฿16,900"
Camil Clinic,Oligio X (600 Shots),600,방콕,"฿39,900","฿32,900"
Obliv Young Clinic,[New] Oligio X (100 Shots),100,방콕,"฿15,000","฿5,999"
Lbc Clinic Rama 9 Branch,Oligio X (300 Shots) Free!! Ultraformer III (100 Shots),300,방콕,"฿20,000","฿15,999"
Lbc Clinic Siam Square Branch,Oligio X (300 Shots) Free!! Ultraformer III (100 Shots),300,방콕,"฿20,000","฿15,999"
Howto Clinic,Oligio X (200 Shots)  Free Meso Skin Bright *Authentic machine,200,방콕,"฿19,000","฿8,999"
Rebo Clinic L Floor Park Silom,Oligio X (300 Shots),300,기타,"฿19,000","฿16,900"
Rebo Clinic L Floor Park Silom,Oligio X (400 Shots),400,기타,"฿25,000","฿21,900"
Rebo Clinic L Floor Park Silom,Oligio X (600 Shots),600,기타,"฿34,000","฿30,900"
Lbc Clinic Sukhumvit 39,Oligio X (300 Shots) Free!! Ultraformer III (100 Shots),300,방콕,"฿20,000","฿15,999"
Ultra Prime Clinic,Oligio X Skin Tightening (600 Shots) (*Authentic Device Verifiable) (*Performed by an Expert Doctor),600,방콕,"฿40,000","฿29,900"
Ultra Prime Clinic,Oligio X Skin Tightening (300 Shots) (*Authentic Device Verifiable) (*Performed by an Expert Doctor),300,방콕,"฿20,000","฿16,490"
Ultra Prime Clinic,Oligio X Skin Tightening (450 Shots) (*Authentic Device Verifiable) (*Performed by an Expert Doctor),450,방콕,"฿30,000","฿23,900"
Happi Clinic Siamscape,Oligio (300 Shots Free!! 15 Shots) (Procedure by Doctor) (Exclusive only GOWABI)  *Please Make a Reservation in Advance via LINE*,300,방콕,"฿16,990","฿13,900"
Happi Clinic Siamscape,Oligio (100 Shots) (Procedure by Doctor) (Exclusive only GOWABI)  *Please Make a Reservation in Advance via LINE*,100,방콕,"฿7,990","฿4,999"
Happi Clinic Siamscape,Oligio (300 Shots) (Procedure by Doctor) (Exclusive only GOWABI)  *Please Make a Reservation in Advance via LINE*,300,방콕,"฿16,990","฿9,999"
Happi Clinic Siamscape,Oligio (1200 Shots Free!! 60 Shots) (Procedure by Doctor) (Exclusive only GOWABI)  *Please Make a Reservation in Advance via LINE*,1200,방콕,"฿55,990","฿49,999"
Happi Clinic Siamscape,Oligio (600 Shots Free!! 30 Shots) (Procedure by Doctor) (Exclusive only GOWABI)  *Please Make a Reservation in Advance via LINE*,600,방콕,"฿29,999","฿21,999"
The Glam Clinic Mbk Center,Oligio (600 Shots) (Procedure by Doctor) (Exclusive only GOWABI) *Please Make a Reservation in Advance via LINE*,600,방콕,"฿39,900","฿18,900"
The Glam Clinic Mbk Center,Oligio Lifting (300 Shots) (Procedures Performed by Doctor) (Exclusive Only GOWABI) (*Please Make a Reservation via LINE Before Visit),300,방콕,"฿22,000","฿19,900"
Avathea Clinic Bts Asoke Times Square Building,Oligio (100 Shots) (Doctor-Performed Procedure) (Exclusive Only on GOWABI) (*Please Make a Reservation in Advance via Line),100,방콕,"฿8,000","฿5,000"
Avathea Clinic Bts Asoke Times Square Building,Oligio (600 Shots) (Doctor-Performed Procedure) (Exclusive Only on GOWABI) (*Please Make a Reservation in Advance via Line),600,방콕,"฿36,000","฿30,000"
Avathea Clinic Bts Asoke Times Square Building,Oligio (300 Shots) (Doctor-Performed Procedure) (Exclusive Only on GOWABI) (*Please Make a Reservation in Advance via Line),300,방콕,"฿18,000","฿9,999"
Bkk Beauty Club Clinic Italthai House,Oligio (300 Shots) (Procedure by Expert Doctor) (*Authentic Machine can be Verify),300,방콕,"฿19,999","฿14,999"
Fly Aesthetic Clinic Bts Ratchayothin,"Oligio (300 Shots) (Procedure by Certified Doctor) (Exclusive on GOWABI) (*Authentic Machine, Verifiable) (Free JORDI SHAPE Fat Reduction Program from Italy)",300,방콕,"฿16,390","฿15,290"
Fly Aesthetic Clinic Bts Ratchayothin,"Oligio (600 Shots) (Procedure by Certified Doctor) (Exclusive on GOWABI) (*Authentic Machine, Verifiable) (Free JORDI SHAPE Fat Reduction Program from Italy)",600,방콕,"฿39,999","฿29,590"
Fly Aesthetic Clinic Bts Ratchayothin,"Oligio (100 Shots) (Procedure by Certified Doctor) (Exclusive on GOWABI) (*Authentic Machine, Verifiable) (Free JORDI SHAPE Fat Reduction Program from Italy)",100,방콕,"฿8,080","฿6,149"
Merah Clinic Ps Tower Bts Asoke,Oligio (300 Shots) (Procedure by Doctor) (Exclusive only GOWABI) *Please Make a Reservation in Advance via LINE*,300,방콕,"฿38,999","฿9,999"
Amo Ne Clinic Phetchaburi Soi 15 Bts Ratchathewi Amone Clinic,Oligio (600 Shots) *Available exclusively on Gowabi* (*Authentic Thai FDA) (Procedures Performed by Doctor),600,방콕,"฿59,999","฿19,990"
Amo Ne Clinic Phetchaburi Soi 15 Bts Ratchathewi Amone Clinic,Oligio (300 Shots) (Procedure by Doctor) (Exclusive only GOWABI) *Please Make a Reservation in Advance via LINE* (*Authentic Thai FDA) (Procedures Performed by Doctor),300,방콕,"฿15,990","฿10,999"
Amo Ne Clinic Phetchaburi Soi 15 Bts Ratchathewi Amone Clinic,Oligio (300 Shots) (Free Botox Hutox (Korea) (50 Units)) (*Authentic Thai FDA) (Procedures Performed by Doctor),300,방콕,"฿42,999","฿12,999"
