병원명,시술명,샷수,도시,정가,할인가
Vincent Clinic Asok Bangkok,"Thermage FLX - Body Tip (2,000 Shots)",0,방콕,"฿119,999","฿99,999"
Vincent Clinic Asok Bangkok,Thermage FLX - Eye Tip (450 Shots),450,방콕,"฿35,999","฿29,999"
Vincent Clinic Asok Bangkok,Thermage FLX - Total Tip 4.0 (900 Shots),900,방콕,"฿71,999","฿59,999"
Meko Bfill Clinic Exchange Tower Asoke Branch,Thermage (Korean) - Smile Line (200 shots) Provide by Assistant,200,방콕,"฿5,900","฿1,499"
Meko Bfill Clinic Exchange Tower Asoke Branch,Thermage (Korean) - Under Eyes (200 shots) Provide by Assistant,200,방콕,"฿1,990","฿1,499"
Ququri Clinic,"Thermage CPT (1,200 Shots)  Free HiIFU (100 Shots) *Depends on Doctor's evaluation",200,기타,"฿105,000","฿39,999"
Meko Bfill Clinic Thonglor Branch,Thermage (Korean) - Smile Line (200 shots) Provide by Assistant,200,방콕,"฿1,990","฿1,499"
Meko Bfill Clinic Thonglor Branch,Thermage (Korean) - Under Eyes (200 shots) Provide by Assistant,200,방콕,"฿1,990","฿1,499"
Meko Bfill Clinic Siam Branch,Thermage (Korean) - Smile Line (200 shots) Provide by Assistant,200,방콕,"฿1,990","฿1,499"
Meko Bfill Clinic Siam Branch,Thermage (Korean) - Under Eyes (200 shots) Provide by Assistant,200,방콕,"฿1,990","฿1,499"
Bdl Clinic,Thermage FLX (300 Shots),300,방콕,"฿49,000","฿9,999"
W Medic Clinic,Solf thermage 100shot,100,방콕,"฿3,900","฿2,521"
W Medic Clinic,Non-surgical face lifting program using Soft Thermage â unlimited shots for 1 area,1,방콕,"฿5,000","฿1,990"
W Medic Clinic,🔥Soft Thermage – ยกกระชับผิวโดยไม่ต้องศัลยกรรม! ✨ Unlimit Shot,,방콕,"฿9,900","฿1,999"
W Medic Clinic,Solf thermage 800shot,800,방콕,"฿9,900","฿8,633"
W Medic Clinic,Solf thermage 500shot,500,방콕,"฿7,900","฿6,693"
W Medic Clinic,Solf thermage 300shot,300,방콕,"฿5,900","฿4,753"
W Medic Clinic,Solf thermage 600shot,600,방콕,"฿8,900","฿7,663"
W Medic Clinic,"Non-surgical face lifting with Soft Thermage â 2,000 shots plus 2,000 bonus shots",0,방콕,"฿35,000","฿16,900"
W Medic Clinic,🔥 ปรับผิวกระชับ ยกกระชับใบหน้า ด้วย Solf Thermage! 🔥,,방콕,"฿9,990","฿1,999"
W Medic Clinic,Solf thermage 1000shot,1000,방콕,"฿12,900","฿9,690"
Adora Clinic,Thermage (300 Shots),300,방콕,"฿50,000","฿37,900"
Adora Clinic,Thermage (450 Shots),450,방콕,"฿69,000","฿47,900"
Adora Clinic,Thermage (900 Shots),900,방콕,"฿120,000","฿85,900"
Divine Aesthetic Clinic,"Thermage 250 shots, free mask after treatment",250,방콕,"฿19,500","฿13,450"
Divine Aesthetic Clinic,Thermage 100 shots free LED light to reduce redness. By s Oligio,100,방콕,"฿10,999","฿6,900"
Metro Bangkok Clinic,Thermage (USA) full treatment for face eye and neck 1200 shots,1200,방콕,"฿130,000","฿87,300"
Metro Bangkok Clinic,Thermage 600 shots,600,방콕,"฿75,000","฿53,340"
Metro Bangkok Clinic,Thermage (USA) full treatment for face and neck 900 shots (Special),900,방콕,"฿100,000","฿65,000"
Aestima Clinic Asoke Branch,Thermage FLX New (900 Shots),900,방콕,"฿89,000","฿69,000"
Skyn Station Clinic Bts Phloen Chit,"Thermage FLX (new model, Eyes Tip, 450 shots) – tightens the eyelids and prevents sagging, recommended once a year, performed by Siriraj doctors with experience in over 1,000 cases.",450,방콕,"฿40,000","฿24,990"
L A B X Mega Bangna Lab X,"Thermage FLX 900 Shots (Face, Under Eyes, Neck, Chin)",900,방콕,"฿150,000","฿54,990"
Pleased Clinic,Korean Thermage - Provide by Assistant (200 shots),200,방콕,"฿5,998","฿1,800"
