병원명,시술명,샷수,도시,정가,할인가
Luxe Bangkok Clinic Bts Phahonyothin 24,Ulthera SPT - Face & Neck (500 Shots)  *Free บท็อกซ์ (100 Units),500,방콕,"฿79,990","฿49,990"
Vincent Clinic Asok Bangkok,New Ulthera SPT Lifting Program (300 Lines),300,방콕,"฿35,999","฿27,999"
Vincent Clinic Asok Bangkok,New Ulthera SPT Lifting Program (500 Lines),500,방콕,"฿59,999","฿49,999"
Vincent Clinic Asok Bangkok,New Ulthera SPT Lifting Program (200 Lines),200,방콕,"฿23,999","฿19,999"
Vincent Clinic Asok Bangkok,"New Ulthera SPT Lifting Program (1,000 Lines)",0,방콕,"฿119,999","฿99,999"
Vincent Clinic Asok Bangkok,New Ulthera SPT Lifting Program (400 Lines),400,방콕,"฿47,999","฿34,990"
Vincent Clinic Asok Bangkok,New Ulthera SPT Lifting Program (800 Lines),800,방콕,"฿95,999","฿79,999"
Vincent Clinic Asok Bangkok,New Ulthera SPT Lifting Program (600 Lines),600,방콕,"฿71,999","฿59,999"
Idyllic Clinic,Ultherapy (200 Shots),200,방콕,"฿25,900","฿15,900"
Idyllic Clinic,Ultherapy (100 Shots),100,방콕,"฿15,900","฿9,590"
Alyn Clinic,Ulthera SPT - 300 Lines (Free HIFU V-Thera 300 Shots) (Buy 1 Get 1) - Face Lifting and Skin Firming,300,방콕,"฿300,200","฿29,900"
Alyn Clinic,Ulthera SPT (150 Lines) (Free HIFU V-Thera 150 Shots) (Buy 1 Get 1) - Face Lifting and Skin Tightening,150,방콕,"฿31,999","฿15,999"
Alyn Clinic,Ulthera SPT - 50 Lines (Free HIFU V-Thera 100 Shots) (Buy 1 Get 1) - Face Lifting and Skin Firming,50,방콕,"฿20,000","฿9,999"
W Medic Clinic,Ultherapy,,방콕,"฿45,000","฿34,999"
Medpark Hospital,Ulthera (400 Lines),400,방콕,"฿66,250","฿47,500"
Cher Clinic Samyan Mittown,Ulthera (1000 Shots) [Flash Sale eVoucher],1000,방콕,"฿180,000","฿99,999"
Cher Clinic Samyan Mittown,Ulthera (300 Shots) [Flash Sale eVoucher],300,방콕,"฿54,000","฿29,999"
Cher Clinic Samyan Mittown,Ulthera (500 Shots) [Flash Sale eVoucher],500,방콕,"฿90,000","฿49,999"
Cher Clinic Samyan Mittown,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic Samyan Mittown,Ulthera - V Lifting (500 Shots),500,방콕,"฿90,000","฿75,000"
Cher Clinic Samyan Mittown,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic Samyan Mittown,Ulthera - V Lifting (300 Shots),300,방콕,"฿54,000","฿45,000"
Cher Clinic Samyan Mittown,Ulthera - V Lifting (1000 Shots),1000,방콕,"฿180,000","฿150,000"
Aestima Clinic Asoke Branch,Ultherapy Prime (Gold Standard) (300 Shots)  Performed by Certified Doctor,300,방콕,"฿60,000","฿39,000"
De Wow Clinic,Ulthera SPT (300 line)  Free Meso Fat (10 cc.),300,방콕,"฿40,000","฿28,999"
De Wow Clinic,Ulthera SPT (100 line)  Free Filler Neuramis (1 cc.),100,방콕,"฿21,000","฿13,999"
Surkin Clinic Ladprao Branch,Ulthera Prime (500 Lines) (*Authentic Machine can be Verify) (Procedures Performed by  Doctor),500,방콕,"฿75,000","฿39,999"
Cher Clinic True Digital Park,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
