병원명,시술명,샷수,도시,정가,할인가
Luxe Bangkok Clinic Bts Phahonyothin 24,Ultraformer III (600 Shots)  Free Meso Derma Glow 1 cc,600,방콕,"฿18,000","฿5,999"
Luxe Bangkok Clinic Bts Phahonyothin 24,mesofat 10 cc mesoskin 2 cc Ultraformer iii 300 shots บท็อกซ์50 unit,300,방콕,"฿15,000","฿12,779"
Luxe Bangkok Clinic Bts Phahonyothin 24,Ultraformer III (600 Shots)  Free Meso Luxury Melasma (2 cc.),600,방콕,"฿18,000","฿5,999"
Luxe Bangkok Clinic Bts Phahonyothin 24,Ultraformer iii 600 shots,600,방콕,"฿20,000","฿17,900"
Luxe Bangkok Clinic Bts Phahonyothin 24,Ultraformer iii 100 shots,100,방콕,"฿3,000","฿2,500"
Shu Aesthetics Clinic Bts Chidlom,Ultraformer III 300 Shots *Authentic Thai FDA* *Procedure by  Doctor (*Please Make a Reservation in Advance via LINE),300,방콕,"฿10,900","฿3,999"
Luxe Clinic Sukhumvit Bts Phra Khanong,Ultraformer III - Facial Lifting (600 Shots),600,방콕,"฿24,900","฿8,990"
Luxe Clinic Sukhumvit Bts Phra Khanong,Ultraformer III - Facial Lifting (100 Shots),100,방콕,"฿7,500","฿3,000"
Luxe Clinic Sukhumvit Bts Phra Khanong,Ultraformer III - Facial Lifting (300 Shots),300,방콕,"฿20,000","฿4,990"
Luxe Clinic Sukhumvit Bts Phra Khanong,Ultraformer III - Facial Lifting (200 Shots),200,방콕,"฿18,000","฿3,990"
Luxe Clinic Sukhumvit Bts Phra Khanong,Ultraformer III - Facial Lifting (400 Shots),400,방콕,"฿22,000","฿4,590"
Stc Clinic Sukhumvit 39 Branch,Do HIFU with Ultraformer III 300 shots to lift and tighten / adjust the face to be V-shaped (1 time) [GO170],300,방콕,"฿17,900","฿8,590"
Stc Clinic Sukhumvit 39 Branch,Do HIFU Macrofocus with Ultraformer III 100 shots on the cheeks or chin / lift and tighten the face to look younger (1 time) [GO169],100,방콕,"฿5,000","฿3,590"
Stc Clinic Sukhumvit 39 Branch,Do HIFU with Ultraformer III unlimited shots / depending on the doctor's assessment / on the face or neck (1 time) [GO171],,방콕,"฿25,000","฿18,000"
Miel Clinic Stadium One,Ultraformer III - Facial Skin Tightening (100 Shots),100,방콕,"฿4,999","฿3,990"
Miel Clinic Stadium One,Ultraformer III - Facial Skin Tightening (200 Shots),200,방콕,"฿12,000","฿4,999"
Miel Clinic Stadium One,Ultraformer III - Cheeks and Double Chin (300 Shots),300,방콕,"฿16,000","฿7,222"
Miel Clinic Stadium One,Ultraformer III - Facial Lifting (400 Shots),400,방콕,"฿20,000","฿9,999"
Miel Clinic Stadium One,Ultraformer III - Facial Lifting (500 Shots),500,방콕,"฿24,900","฿10,999"
Miel Clinic Stadium One,Ultraformer III - Facial Lifting (600 Shots),600,방콕,"฿27,990","฿11,999"
Miel Clinic Stadium One,Ultraformer III (1000 Shots),1000,방콕,"฿19,999","฿17,999"
Arix Medical Center,Ultraformer III - Facial Lifting (900 Shots) *Authentic Machine can be Verify (Procedure by  Doctor),900,방콕,"฿22,500","฿9,999"
Arix Medical Center,Ultraformer III - Facial Lifting (600 Shots) *Authentic Machine can be Verify (Procedure by  Doctor),600,방콕,"฿15,000","฿6,599"
Arix Medical Center,Ultraformer III - Facial Lifting (100 Shots)  *Authentic Machine can be Verify (Procedure by  Doctor),100,방콕,"฿2,500","฿1,299"
Meko Bfill Clinic Exchange Tower Asoke Branch,Ultraformer III - Whole Face (400 Shots) by Doctor FREE! Premium Hifu by Assistant - Cheeks or Jaw Line or Double Chins (400 Shots) [Flash Sale eVoucher],400,방콕,"฿16,899","฿10,000"
Meko Bfill Clinic Exchange Tower Asoke Branch,Ultraformer III - Jaw Line (200 Shots) by Doctor,200,방콕,"฿7,990","฿5,000"
Alyn Clinic,Ultraformer III - 100 Shots - Facial Tightening and Slimmer Contours,100,방콕,"฿7,200","฿2,990"
Alyn Clinic,Ultraformer III - 500 Shots (Free Fat Dissolving 20 cc.) - Slimmer and Firmer Facial Contours,500,방콕,"฿29,200","฿14,599"
Alyn Clinic,Ultraformer III - 300 Shots (Free Fat Dissolving 20 cc.) - Slimmer and Firmer Facial Contours,300,방콕,"฿20,000","฿11,999"
Alyn Clinic,Ultraformer III - 200 Shots (Free Fat Dissolving 20 cc.) - Slimmer and Firmer Facial Contours,200,방콕,"฿15,200","฿7,899"
Asia Clinic Marche Thonglor,Ultraformer III - Facial Lifting (300 Shots),300,방콕,"฿19,990","฿4,499"
Asia Clinic Marche Thonglor,Ultraformer III - Lifting (200 Shots)  Free HIFU Ultramerz XI (200 Shots),200,방콕,"฿10,000","฿3,399"
Asia Clinic Marche Thonglor,Ultraformer III - Facial Lifting (500 Shots),500,방콕,"฿29,900","฿6,999"
Asia Clinic Marche Thonglor,Ultraformer III - Foxy Eyes (Unlimited Shots),,방콕,"฿12,900","฿1,999"
Asia Clinic Marche Thonglor,Ultraformer III - Facial Lifting (150 Shots),150,방콕,"฿14,900","฿2,999"
Asia Clinic Marche Thonglor,Ultraformer III - Facial Lifting (600 Shots),600,방콕,"฿34,900","฿7,999"
Lana Clinic Rama 9,Ultraformer III 900 Shots,900,방콕,"฿40,000","฿22,500"
Lana Clinic Rama 9,Ultraformer III 400 Shots,400,방콕,"฿25,000","฿10,000"
Lana Clinic Rama 9,"Ultraformer III 1,200 Shots",200,방콕,"฿55,000","฿30,000"
Lana Clinic Rama 9,Ultraformer III 300 Shots,300,방콕,"฿12,000","฿7,990"
Lana Clinic Rama 9,Ultraformer III 600 Shots,600,방콕,"฿45,000","฿15,000"
Sher Clinic Rca Rama 9,Ultraformer III - Facial Lifting (600 Shots) *Procedure by  Doctor,600,방콕,"฿19,999","฿5,888"
Sher Clinic Rca Rama 9,Ultraformer III - Facial (900 Shots) *Procedure by  Doctor,900,방콕,"฿25,000","฿9,999"
Sher Clinic Rca Rama 9,Ultraformer III - Facial Lifting (600 Shots)  Free Ultra Q Switch Laser *Procedure by  Doctor,600,방콕,"฿24,990","฿5,888"
Sher Clinic Rca Rama 9,Ultraformer III - Facial Lifting (600 Shots)  Free K-IPL Brightening Laser *Procedure by  Doctor,600,방콕,"฿24,900","฿5,888"
Davin Clinic Ari Branch,Ultraformer III (100 Shots),100,방콕,"฿5,999","฿2,990"
Shu Clinic Meeting Mall,Ultraformer III - Facial Lifting (100 Shots),100,방콕,"฿2,500","฿2,499"
Shu Clinic Meeting Mall,Ultraformer III - Facial Lifting (600 Shots),600,방콕,"฿15,000","฿5,999"
Shu Clinic Meeting Mall,Ultraformer III - Facial Lifting (200 Shots),200,방콕,"฿3,990","฿2,999"
Tangerina Clinic,Ultraformer III Program (300 Shots),300,방콕,"฿45,000","฿5,499"
Tangerina Clinic,Ultraformer III Program (600 Shots),600,방콕,"฿90,000","฿12,999"
Tangerina Clinic,Ultraformer III Program (300 Shots) (First Trial) (Limited to 1 Person / 1 Purchase),300,방콕,"฿15,000","฿3,500"
Tangerina Clinic,Ultraformer III Program (100 Shots),100,방콕,"฿15,000","฿2,700"
Meko Bfill Clinic Thonglor Branch,Ultraformer III - Whole Face (400 Shots) by Doctor FREE! Premium Hifu by Assistant - Cheeks or Jaw Line or Double Chins (400 Shots) [Flash Sale eVoucher],400,방콕,"฿16,899","฿10,000"
Meko Bfill Clinic Thonglor Branch,Ultraformer III - Jaw Line (200 Shots) by Doctor,200,방콕,"฿7,990","฿5,000"
Meko Bfill Clinic Siam Branch,Ultraformer III - Whole Face (400 Shots) by Doctor FREE! Premium Hifu by Assistant - Cheeks or Jaw Line or Double Chins (400 Shots) [Flash Sale eVoucher],400,방콕,"฿16,899","฿10,000"
Meko Bfill Clinic Siam Branch,Ultraformer III - Jaw Line (200 Shots) by Doctor,200,방콕,"฿7,990","฿5,000"
Rer Ve Clinic Rerve Clinic The Master Bts Udom Suk Branch,Ultraformer III (800 Shots) (Procedure by  Doctor),800,방콕,"฿20,000","฿7,999"
Rer Ve Clinic Rerve Clinic The Master Bts Udom Suk Branch,Ultraformer III (600 Shots) (Procedure by  Doctor),600,방콕,"฿15,000","฿5,999"
Stc Clinic Sena Nikhom 1 Branch,Do HIFU with Ultraformer III unlimited shots / depending on the doctor's assessment / on the face or neck (1 time) [GO171],,방콕,"฿25,000","฿18,000"
Stc Clinic Sena Nikhom 1 Branch,Do HIFU Macrofocus with Ultraformer III 100 shots on the cheeks or chin / lift and tighten the face to look younger (1 time) [GO169],100,방콕,"฿5,000","฿3,590"
Stc Clinic Sena Nikhom 1 Branch,Do HIFU with Ultraformer III 300 shots to lift and tighten / adjust the face to be V-shaped (1 time) [GO170],300,방콕,"฿17,900","฿8,590"
Banobagi Clinic,Ultraformer III 800 shots Free !  Botoxu Neuronox (Korea) (50 Units),800,방콕,"฿42,500","฿19,990"
Luxe Clinic Siam Square Bts Siam Temporarily Closed For Renovations Can Be Used Luxe Clinic Sukhumvit Branch,Ultraformer III - Facial Lifting (100 Shots),100,방콕,"฿7,500","฿3,000"
Luxe Clinic Siam Square Bts Siam Temporarily Closed For Renovations Can Be Used Luxe Clinic Sukhumvit Branch,Ultraformer III - Facial Lifting (300 Shots),300,방콕,"฿20,000","฿4,990"
Luxe Clinic Siam Square Bts Siam Temporarily Closed For Renovations Can Be Used Luxe Clinic Sukhumvit Branch,Ultraformer III - Facial Lifting (600 Shots),600,방콕,"฿24,900","฿8,990"
Luxe Clinic Siam Square Bts Siam Temporarily Closed For Renovations Can Be Used Luxe Clinic Sukhumvit Branch,Ultraformer III - Facial Lifting (200 Shots),200,방콕,"฿18,000","฿3,990"
Luxe Clinic Siam Square Bts Siam Temporarily Closed For Renovations Can Be Used Luxe Clinic Sukhumvit Branch,Ultraformer III - Facial Lifting (400 Shots),400,방콕,"฿22,000","฿5,990"
W Medic Clinic,Ultraformer III - Face Slimming & Contouring (500 Shots),500,방콕,"฿19,487","฿14,990"
W Medic Clinic,Ultraformer III - Face Slimming & Contouring (300 Shots),300,방콕,"฿12,987","฿9,990"
W Medic Clinic,Ultraformer III - Face Slimming & Contouring (100 Shots),100,방콕,"฿6,498","฿2,990"
W Medic Clinic,Ultraformer III - Face Slimming & Contouring (1000 Shots),1000,방콕,"฿32,487","฿24,990"
W Medic Clinic,Ultraformer III - Face Slimming & Contouring (700 Shots),700,방콕,"฿24,687","฿18,990"
W Medic Clinic,Ultraformer III  100 Shot Non-Surgical Face Lifting & Skin Tightening,100,방콕,"฿9,000","฿2,990"
Happi Clinic Siamscape,Ultraformer III (100 Shots) - Crown's Feet/Cheek/Double Chin *Choose 1 Area* (Procedure by  Doctor) (Exclusive only GOWABI)  *Please Make a Reservation in Advance via LINE*,100,방콕,"฿8,900","฿2,999"
Happi Clinic Siamscape,Ultraformer III (300 Shots) - Cheek and Double Chin (Procedure by  Doctor) (Exclusive only GOWABI)  *Please Make a Reservation in Advance via LINE*,300,방콕,"฿14,900","฿7,999"
