병원명,시술명,샷수,도시,정가,할인가
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (200 Shots),200,방콕,"฿16,799","฿12,999"
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (400 Shots),400,방콕,"฿28,799","฿18,999"
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (800 Shots),800,방콕,"฿38,399","฿29,990"
Vincent Clinic Asok Bangkok,Program Ultraformer MPT (600 Shots),600,방콕,"฿35,999","฿29,099"
Asia Clinic Marche Thonglor,Ultraformer MPT (400 Shots) Free Diode Laser Hair Removal (5 Times),400,방콕,"฿18,000","฿8,900"
Asia Clinic Marche Thonglor,Ultraformer MPT (400 Shots) Free botulinum To.xin Nabota (50 Units),400,방콕,"฿20,000","฿8,900"
Asia Clinic Marche Thonglor,Ultraformer MPT (400 Shots) Free Pico Laser (3 Times),400,방콕,"฿22,000","฿8,900"
Bdl Clinic,Ultraformer MPT (600 Shots),600,방콕,"฿40,000","฿5,799"
Bdl Clinic,Ultraformer MPT (300 Shots),300,방콕,"฿21,000","฿3,799"
Asia Hospital,Ultraformer MPT - Lifting (900 Shots),900,방콕,"฿48,000","฿39,900"
Asia Hospital,Ultraformer MPT - Lifting (600 Shots),600,방콕,"฿35,000","฿24,900"
Asia Hospital,Ultraformer MPT - Lifting (400 Shots),400,방콕,"฿30,000","฿19,900"
Asia Hospital,Ultraformer MPT (400 Shots) Free Diode Laser Hair Removal (5 Times),400,방콕,"฿18,000","฿8,900"
Asia Hospital,Ultraformer MPT (400 Shots) Free Pico Laser (3 Times),400,방콕,"฿22,000","฿8,900"
Asia Hospital,Ultraformer MPT (400 Shots) Free Botulinum toxin Nabota (50 Units),400,방콕,"฿20,000","฿8,900"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (200 Shots),200,방콕,"฿16,799","฿12,999"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (400 Shots),400,방콕,"฿28,799","฿18,999"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (600 Shots),600,방콕,"฿35,999","฿29,099"
Vincent Clinic Iconsiam Ics Lifestyle Complex,Program Ultraformer MPT (800 Shots),800,방콕,"฿38,399","฿29,990"
Vitaline Neuro Aesthetic Wellness,Ultraformer MPT - Facial Lifting (300 Shots),300,기타,"฿15,999","฿10,999"
Vitaline Neuro Aesthetic Wellness,Ultraformer MPT - Facial Lifting (200 Shots),200,기타,"฿13,900","฿7,400"
Vitaline Neuro Aesthetic Wellness,Ultraformer MPT - Cheeks and Double Chin (400 Shots),400,기타,"฿24,999","฿12,990"
De Wow Clinic,Ultraformer MPT - Whole Face & Neck (Unlimited Shots),,방콕,"฿17,000","฿8,999"
De Wow Clinic,Ultraformer MPT (300 Shots)  Free Fat (10 cc.),300,방콕,"฿14,000","฿5,999"
De Wow Clinic,Ultraformer MPT - Facial (300 Shots),300,방콕,"฿12,000","฿6,999"
Laor Clinic,Ultraformer MPT (Smile lines Under eyes) Cherry Pink2.00mm 200 Shot,200,방콕,"฿6,990","฿2,999"
Laor Clinic,Ultraformer MPT 300 shots whole face,300,방콕,"฿10,000","฿4,999"
Laor Clinic,Ultraformer MPT 600 shots whole face  Free Botox 50u,600,방콕,"฿15,000","฿9,900"
Laor Clinic,Ultraformer MPT 500 shots Free Botox Nabota 20u,500,방콕,"฿11,999","฿7,999"
Vincent Clinic Future Park Rangsit,Program Ultraformer MPT (200 Shots),200,기타,"฿16,799","฿12,999"
Vincent Clinic Future Park Rangsit,Program Ultraformer MPT (800 Shots),800,기타,"฿38,399","฿29,990"
Vincent Clinic Future Park Rangsit,Program Ultraformer MPT (400 Shots),400,기타,"฿28,799","฿18,999"
Vincent Clinic Future Park Rangsit,Program Ultraformer MPT (600 Shots),600,기타,"฿35,999","฿29,099"
Edition Clinic Marche Thonglor,Edition Eye Lifting (100 Shots) - Eyelid Tightening with Ultraformer MPT,100,방콕,"฿5,000","฿4,260"
Edition Clinic Marche Thonglor,Edition Lifting Underarms 400 Shots with Ultraformer MPT,400,방콕,"฿23,000","฿18,500"
Obliv Young Clinic,Ultraformer MPT 300 shots *Limited 1 per customer*,300,방콕,"฿15,900","฿8,990"
Obliv Young Clinic,Ultraformer MPT (300 shots) Free!! Meso Fat (10 cc.),300,방콕,"฿30,000","฿8,999"
Progression Clinic The Mall Ngamwongwan,Ultraformer MPT (800 Shots),800,방콕,"฿39,900","฿16,999"
