hospital,address,service_name,price,duration,discount,treatment_type,duration_minutes,service_name_translated
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Instituto Antacle Trombeli,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
